,label,target,words,chan_precitions
0,ps,0,changeling,3
1,ps,0,nigga,0
2,ps,0,cross-breed,3
3,ps,0,bum,2
4,ps,0,crossbred,3
5,ps,0,cretin,3
6,ps,0,jigaboo,0
7,ps,0,beduin,0
8,ps,0,crossbreed,3
9,ps,0,boor,9
10,ps,0,livid,3
11,ps,0,white,0
12,ps,0,yahood,3
13,ps,0,mongolid,0
14,ps,0,asian,0
15,ps,0,rroma,3
16,ps,0,mongoloid,3
17,ps,0,pikey,8
18,ps,0,negress,6
19,ps,0,mark,7
20,ps,0,jewess,6
21,ps,0,judaical,3
22,ps,0,half-breed,0
23,ps,0,judaism,3
24,ps,0,idiot,7
25,ps,0,jewry,3
26,ps,0,inter-breeding,3
27,ps,0,mestizaje,3
28,ps,0,zulus,0
29,ps,0,simple,3
30,ps,0,half-caste,3
31,ps,0,juden,0
32,ps,0,rom,3
33,ps,0,nikker,5
34,ps,0,judiasm,3
35,ps,0,krauts,0
36,ps,0,negro,0
37,ps,0,fascist,3
38,ps,0,ladino,0
39,ps,0,stupidhead,3
40,ps,0,barbarian,0
41,ps,0,moronic,3
42,ps,0,bulgarians,0
43,ps,0,halfcast,3
44,ps,0,hybrid,3
45,ps,0,unfortunate,4
46,ps,0,gipsy,3
47,ps,0,lubber,9
48,ps,0,eejit,7
49,ps,0,judaists,3
50,ps,0,mongol,0
51,ps,0,savage,0
52,ps,0,metics,3
53,ps,0,idiocies,3
54,ps,0,africoid,3
55,ps,0,clod,9
56,ps,0,patsy,3
57,ps,0,chinese,0
58,ps,0,judism,0
59,ps,0,chump,8
60,om,1,buttfucker,9
61,om,1,crossdressing,1
62,om,1,fag,1
63,om,1,ghey,3
64,om,1,hiney,1
65,om,1,buns,3
66,om,1,queerness,3
67,om,1,bum,2
68,om,1,buttsex,1
69,om,1,fudgepacking,6
70,om,1,homophilic,1
71,om,1,faggot,1
72,om,1,homophile,1
73,om,1,namby-pamby,3
74,om,1,pederast,1
75,om,1,homosexuals,1
76,om,1,fagot,8
77,om,1,faggoty,3
