,id,pos,category,stereotype,lemma,level
35,EN2454,n,om,no,homophobic slurs,conservative
82,EN5498,n,re,no,m o f f i a,conservative
87,EN1895,n,ps,yes,changeling,conservative
122,EN5044,a,ddp,yes,incapable,inclusive
142,EN337,n,an,no,folderol,conservative
158,EN5019,n,cds,no,lying by omission,inclusive
171,EN746,n,rci,yes,birin,conservative
232,EN2041,n,re,no,swindler,inclusive
249,EN1916,n,ddp,yes,half-wit,conservative
267,EN732,n,pa,yes,savage,conservative
274,EN746,n,cds,no,birin,conservative
278,EN1104,n,cds,no,rapscallion,inclusive
281,EN5485,n,cds,no,maffias,conservative
284,EN1321,n,ddp,yes,muthafucker,conservative
324,EN5524,n,cds,no,m.o.f.f.i.a.,inclusive
380,EN858,n,cds,no,sucker,conservative
395,EN5510,n,cds,no,sicilian mobsters,conservative
397,EN741,n,dmc,yes,barbarously,conservative
417,EN1706,n,dmc,yes,vagabond,conservative
418,EN956,n,qas,no,lie,conservative
421,EN5042,n,cds,no,behavioral signals of lying,inclusive
427,EN4355,n,cds,no,theif,inclusive
437,EN1731,n,cds,no,villainesses,conservative
457,EN1101,n,re,no,rascal,inclusive
483,EN960,n,cds,no,untruth,inclusive
495,EN1103,n,re,no,scallywag,conservative
498,EN860,n,asf,no,patsy,conservative
519,EN5043,n,cds,no,dissembled,inclusive
527,EN1122,n,cds,no,outlawry,inclusive
528,EN1103,n,dmc,yes,scallywag,inclusive
550,EN4428,n,pr,no,john,inclusive
552,EN4428,n,cds,no,john,inclusive
555,EN7705,n,re,no,terraist,conservative
577,EN729,n,pa,yes,barbarian,conservative
617,EN3462,n,re,no,delict,inclusive
650,EN743,n,ddp,yes,barbarians,conservative
652,EN4691,n,cds,no,superciliousness,conservative
663,EN5038,n,dmc,yes,dissembles,inclusive
666,EN523,n,ps,yes,putz,conservative
668,EN5081,n,cds,no,money-lending,conservative
677,EN607,n,svp,no,niggardliness,conservative
680,EN1706,n,an,no,vagabond,conservative
683,EN1410,n,dmc,yes,bungler,conservative
687,EN1404,n,cds,no,conformists,conservative
690,EN5463,n,cds,no,police man,conservative
732,EN744,n,qas,no,barbaric,conservative
740,EN5515,n,re,no,cosanostra,inclusive
749,EN5263,n,cds,no,abactor,inclusive
750,EN858,n,asf,no,sucker,conservative
760,EN1893,n,asm,no,imbecile,inclusive
776,EN4615,n,cds,no,masses,inclusive
779,EN5457,n,cds,no,zaptiah,conservative
780,EN337,n,ddp,yes,folderol,conservative
792,EN3771,n,cds,no,brothel-keeper,conservative
800,EN1916,n,ps,yes,half-wit,conservative
825,EN5073,n,cds,no,usurer,conservative
833,EN5068,n,cds,no,tai ee long,inclusive
836,EN960,n,dmc,yes,untruth,inclusive
841,EN2470,n,om,no,ghey,inclusive
844,EN2041,n,dmc,yes,swindler,conservative
848,EN1042,n,dmc,yes,fabricator,conservative
859,EN1753,n,dmc,yes,villainous,conservative
867,EN1747,n,cds,no,movie villains,conservative
879,EN4449,n,pr,no,persons involved in the sex trade,inclusive
881,EN1927,n,ps,yes,dunderheads,conservative
883,EN1415,n,dmc,yes,stumbler,conservative
897,EN515,n,ddp,yes,muggins,conservative
901,EN867,n,qas,no,dullard,conservative
902,EN1929,n,an,no,beyotch,conservative
905,EN2036,n,dmc,yes,chiseller,conservative
