,label,target,words,glove_twitter_precitions
0,ps,0,changeling,3
1,ps,0,nigga,0
2,ps,0,bum,2
3,ps,0,cretin,3
4,ps,0,jigaboo,0
5,ps,0,crossbreed,3
6,ps,0,boor,9
7,ps,0,livid,3
8,ps,0,white,3
9,ps,0,asian,0
10,ps,0,mongoloid,9
11,ps,0,pikey,3
12,ps,0,negress,0
13,ps,0,mark,7
14,ps,0,juives,3
15,ps,0,birin,3
16,ps,0,judaism,3
17,ps,0,idiot,7
18,ps,0,mestizaje,3
19,ps,0,zulus,0
20,ps,0,simple,3
21,ps,0,juden,3
22,ps,0,rom,3
23,ps,0,nikker,9
24,ps,0,idiotes,3
25,ps,0,negro,0
26,ps,0,fascist,3
27,ps,0,ladino,3
28,ps,0,stupidhead,3
29,ps,0,barbarian,0
30,ps,0,moronic,3
31,ps,0,bulgarians,3
32,ps,0,hybrid,3
33,ps,0,gascon,3
34,ps,0,unfortunate,4
35,ps,0,gipsy,3
36,ps,0,eejit,7
37,ps,0,mongol,3
38,ps,0,savage,0
39,ps,0,clod,9
40,ps,0,patsy,3
41,ps,0,chinese,0
42,ps,0,chump,8
43,om,1,crossdressing,3
44,om,1,fag,1
45,om,1,ghey,0
46,om,1,hiney,9
47,om,1,buns,1
48,om,1,bum,2
49,om,1,buttsex,3
50,om,1,faggot,1
51,om,1,homosexuals,1
52,om,1,fagot,3
53,om,1,faggoty,9
54,om,1,gentlewoman,3
55,om,1,gayest,1
56,om,1,buttock,9
57,om,1,donkey,3
58,om,1,asscheeks,9
59,om,1,different,3
60,om,1,fairy,3
61,om,1,madam,1
62,om,1,assfucking,1
63,om,1,anomalous,2
64,om,1,buttfucking,9
65,om,1,queers,3
66,om,1,sodomized,5
67,om,1,queen,3
68,om,1,behind,3
69,om,1,ladies,3
70,om,1,derriere,1
71,qas,2,kitschy,3
72,qas,2,birin,3
73,qas,2,trading,3
74,qas,2,dealer,3
75,qas,2,untruth,3
76,qas,2,bollocks,2
77,qas,2,conformists,3
78,qas,2,bolox,8
