,label,target,words,glove_wk_precitions
0,ps,0,changeling,3
1,ps,0,nigga,3
2,ps,0,cross-breed,3
3,ps,0,bum,2
4,ps,0,crossbred,3
5,ps,0,cretin,3
6,ps,0,beduin,3
7,ps,0,crossbreed,3
8,ps,0,boor,9
9,ps,0,livid,3
10,ps,0,white,3
11,ps,0,asian,3
12,ps,0,mongoloid,0
13,ps,0,negress,3
14,ps,0,mark,7
15,ps,0,juives,0
16,ps,0,jewess,3
17,ps,0,half-breed,9
18,ps,0,judaism,0
19,ps,0,idiot,7
20,ps,0,jewry,3
21,ps,0,mestizaje,3
22,ps,0,zulus,3
23,ps,0,simple,3
24,ps,0,half-caste,3
25,ps,0,juden,3
26,ps,0,rom,3
27,ps,0,romanies,0
28,ps,0,krauts,3
29,ps,0,negro,0
30,ps,0,fascist,3
31,ps,0,ladino,3
32,ps,0,barbarian,0
33,ps,0,moronic,3
34,ps,0,bulgarians,0
35,ps,0,hybrid,3
36,ps,0,gascon,3
37,ps,0,unfortunate,4
38,ps,0,gipsy,3
39,ps,0,lubber,9
40,ps,0,hybridizer,3
41,ps,0,mongol,0
42,ps,0,savage,0
43,ps,0,idiocies,3
44,ps,0,clod,9
45,ps,0,patsy,3
46,ps,0,chinese,0
47,ps,0,chump,8
48,om,1,crossdressing,3
49,om,1,fag,1
50,om,1,peeress,3
51,om,1,buns,3
52,om,1,queerness,3
53,om,1,bum,2
54,om,1,upperparts,1
55,om,1,faggot,1
56,om,1,homophile,1
57,om,1,pederast,9
58,om,1,homosexuals,1
59,om,1,fagot,3
60,om,1,dorsoventral,3
61,om,1,gentlewoman,3
62,om,1,gayest,1
63,om,1,buttock,3
64,om,1,donkey,3
65,om,1,different,3
66,om,1,fairy,3
67,om,1,madam,3
68,om,1,anomalous,3
69,om,1,queers,3
70,om,1,sodomized,5
71,om,1,queen,3
72,om,1,aboral,3
73,om,1,contralateral,3
74,om,1,behind,3
75,om,1,ladies,3
76,om,1,derriere,1
77,qas,2,kitschy,3
78,qas,2,trading,3
79,qas,2,agriculturalists,3
80,qas,2,dealer,3
81,qas,2,untruth,3
82,qas,2,mishandle,3
83,qas,2,bollocks,2
84,qas,2,rhetorician,3
85,qas,2,conformists,3
86,qas,2,grandiosity,9
87,qas,2,bargainer,3
88,qas,2,tramp,0
89,qas,2,housekeeping,3
90,qas,2,bloomer,3
91,qas,2,dullard,3
92,qas,2,ectoparasites,8
93,qas,2,bind,2
94,qas,2,power,3
95,qas,2,father,3
96,qas,2,habitual,5
97,qas,2,common,3
98,qas,2,townfolk,3
99,qas,2,bedevil,5
100,qas,2,flub,2
101,qas,2,barbarous,0
102,qas,2,businesswomen,3
103,qas,2,painting,3
104,qas,2,prevarications,3
105,qas,2,spoil,3
106,qas,2,rhetoricians,3
107,qas,2,hut,3
108,qas,2,refuse,3
109,qas,2,dabbler,3
110,qas,2,hokey,3
111,qas,2,king,3
112,qas,2,insane,9
113,qas,2,pitiful,4
114,qas,2,snoop,3
115,qas,2,parasitized,0
116,qas,2,welter,3
117,qas,2,boo-boo,3
118,qas,2,melodramatic,3
119,qas,2,mishmash,3
120,qas,2,trader,3
121,qas,2,shanty,2
122,qas,2,mushy,3
123,qas,2,peasant,0
124,qas,2,bourgeoise,3
125,qas,2,pratfall,3
126,qas,2,commoners,2
127,qas,2,balls,8
128,qas,2,businessman,2
129,qas,2,ball,8
130,qas,2,parochial,4
131,qas,2,moocher,3
132,qas,2,industrialists,2
133,qas,2,farmer,2
134,qas,2,hapless,4
135,qas,2,fumble,5
136,qas,2,rout,3
137,qas,2,bobble,3
138,qas,2,miserable,4
139,qas,2,prevarication,3
140,qas,2,melange,3
141,qas,2,parishes,3
142,qas,2,parish,3
143,qas,2,mixtures,3
144,qas,2,caste,2
145,qas,2,prevaricated,3
146,qas,2,frantic,2
147,qas,2,culled,3
148,qas,2,rabble,2
149,qas,2,hovel,3
150,qas,2,mediaeval,2
151,qas,2,mawkish,3
152,qas,2,soupy,3
153,qas,2,magnat,3
154,qas,2,piteous,3
155,qas,2,snooper,3
156,qas,2,middle-income,2
157,qas,2,mob,2
158,qas,2,feudalistic,3
159,qas,2,hutch,3
160,qas,2,kennels,3
161,qas,2,riffraff,3
162,qas,2,rhetorical,3
163,qas,2,agrarian,2
164,qas,2,boor,9
165,qas,2,dilettante,2
166,qas,2,barons,2
167,qas,2,bungle,2
168,qas,2,conformity,3
169,qas,2,troublemaker,3
170,cds,3,nerdiness,3
171,cds,3,clann,3
172,cds,3,mongrel,3
173,cds,3,zealotry,3
174,cds,3,pedants,3
175,cds,3,nymphomaniac,3
176,cds,3,sheik,3
177,cds,3,chump,8
178,cds,3,rapscallion,3
179,cds,3,mass,3
180,cds,3,incriminates,3
181,cds,3,rookie,3
182,cds,3,barbarian,0
183,cds,3,pietism,3
184,cds,3,villainous,4
185,cds,3,fundamentalists,3
186,cds,3,outlawry,5
187,cds,3,masses,3
188,cds,3,gang,3
189,cds,3,ringleader,3
190,cds,3,schoolmarm,3
191,cds,3,lav,3
192,cds,3,dissembled,2
193,cds,3,tattle,3
194,cds,3,henchmen,3
195,cds,3,craven,3
196,cds,3,babe,3
197,cds,3,blather,9
198,cds,3,clansmen,3
199,cds,3,officer,3
200,cds,3,people,3
201,cds,3,infants,3
202,cds,3,dogmatism,3
203,cds,3,freshness,9
204,cds,3,parvenus,3
205,cds,3,scalawag,3
206,cds,3,usurer,3
207,cds,3,reactionary,3
208,cds,3,greenhorn,3
209,cds,3,fundamentalist,3
210,cds,3,rascal,3
211,cds,3,problem,3
212,cds,3,blunder,2
213,cds,3,bluestocking,3
214,cds,3,unlawfulness,3
215,cds,3,tattler,9
216,cds,3,complacence,3
217,cds,3,teaser,3
218,cds,3,fops,3
219,cds,3,illicit,3
220,cds,3,fascists,3
221,cds,3,swinish,3
222,cds,3,reprobate,3
223,cds,3,culled,3
224,cds,3,wily,3
225,cds,3,slacking,9
226,cds,3,gallant,3
227,cds,3,mess,2
228,cds,3,scamp,3
229,cds,3,blooper,2
230,cds,3,beau,3
231,cds,3,robber,5
232,cds,3,sinner,3
233,cds,3,blabber,9
234,cds,3,bookworm,3
235,cds,3,arrogance,3
236,cds,3,outlawed,5
237,cds,3,clan,3
238,cds,3,gobble,3
239,cds,3,masonic,3
240,cds,3,procuress,3
241,cds,3,grifter,3
242,cds,3,hellion,3
243,cds,3,lawlessness,3
244,cds,3,churl,0
245,cds,3,agent,3
