,id,pos,category,stereotype,lemma,level
3448,EN4353,n,re,no,larseny,inclusive
5125,EN2591,n,cds,no,junk,conservative
710,EN6397,n,an,no,brant,inclusive
1826,EN4177,n,an,no,pipistrelle,inclusive
4383,EN1107,n,dmc,yes,knave,conservative
380,EN858,n,cds,no,sucker,conservative
1197,EN738,n,pa,yes,goth,conservative
607,EN619,n,an,no,miser,conservative
4577,EN7424,a,dmc,yes,malodourous,conservative
3759,EN1741,n,re,no,scoundrel,conservative
989,EN5017,a,svp,no,work-shy,conservative
7019,EN5800,n,qas,no,wordcraft,inclusive
6702,EN5157,n,asm,no,riddlestick,inclusive
8213,EN543,n,om,no,ass,inclusive
8204,EN7590,n,re,no,rapist,conservative
1181,EN2174,n,svp,no,minginess,conservative
4357,EN1896,n,ps,yes,idioticness,conservative
5151,EN1075,n,ddp,yes,mob,conservative
6329,EN3282,n,om,no,sagitally,inclusive
1558,EN3743,n,cds,no,pimpin',inclusive
6925,EN614,n,svp,no,cheapskate,inclusive
4432,EN7621,n,re,no,molest,inclusive
8202,EN5937,n,ddp,yes,fatuous,conservative
8089,EN3021,n,cds,no,offense,inclusive
586,EN6354,n,cds,no,hyper sexuality,conservative
5789,EN2590,n,cds,no,waste,inclusive
5738,EN2177,n,svp,no,parsimoniousness,conservative
6629,EN1637,n,qas,no,cubicle worker,inclusive
3052,EN2520,n,cds,no,cowardices,conservative
5820,EN531,n,or,no,knucklehead,conservative
1970,EN1900,n,ddp,yes,dunder headed,conservative
5316,EN740,n,ddp,yes,churls,conservative
7068,EN4305,n,dmc,yes,hog,conservative
2895,EN1917,n,asf,no,moronism,conservative
4404,EN3516,n,an,no,escargot,inclusive
2299,EN5824,n,ps,yes,mestiso,conservative
2952,EN4685,n,cds,no,supercilious,conservative
3265,EN3785,n,qas,no,farm worker,inclusive
5100,EN7109,a,svp,no,egotistical,conservative
2839,EN7528,a,dmc,yes,riotous,conservative
732,EN744,n,qas,no,barbaric,conservative
