,label,target,words,w2v_precitions
0,ps,0,changeling,3
1,ps,0,nigga,3
2,ps,0,bum,2
3,ps,0,crossbred,3
4,ps,0,cretin,3
5,ps,0,crossbreed,3
6,ps,0,boor,9
7,ps,0,livid,3
8,ps,0,white,0
9,ps,0,asian,0
10,ps,0,mongoloid,9
11,ps,0,pikey,3
12,ps,0,mark,7
13,ps,0,judaism,1
14,ps,0,idiot,7
15,ps,0,mestizaje,3
16,ps,0,simple,3
17,ps,0,rom,3
18,ps,0,churls,3
19,ps,0,krauts,9
20,ps,0,negro,0
21,ps,0,fascist,3
22,ps,0,ladino,0
23,ps,0,barbarian,0
24,ps,0,moronic,3
25,ps,0,hybrid,3
26,ps,0,unfortunate,4
27,ps,0,gipsy,0
28,ps,0,lubber,9
29,ps,0,hybridizer,3
30,ps,0,eejit,7
31,ps,0,savage,0
32,ps,0,idiocies,3
33,ps,0,clod,9
34,ps,0,patsy,3
35,ps,0,chinese,0
36,ps,0,chump,8
37,om,1,crossdressing,1
38,om,1,fag,1
39,om,1,hiney,9
40,om,1,buns,6
41,om,1,queerness,1
42,om,1,bum,2
43,om,1,homophile,1
44,om,1,pederast,3
45,om,1,homosexuals,1
46,om,1,fagot,1
47,om,1,gentlewoman,3
48,om,1,gayest,1
49,om,1,buttock,1
50,om,1,donkey,3
51,om,1,different,3
52,om,1,fairy,8
53,om,1,madam,6
54,om,1,anomalous,1
55,om,1,queers,1
56,om,1,sodomized,5
57,om,1,queen,6
58,om,1,transvestitism,3
59,om,1,contralateral,1
60,om,1,behind,3
61,om,1,ladies,6
62,om,1,derriere,1
63,om,1,pederasts,6
64,qas,2,kitschy,3
65,qas,2,trading,3
66,qas,2,agriculturalists,0
67,qas,2,dealer,3
68,qas,2,untruth,3
69,qas,2,mishandle,3
70,qas,2,bollocks,2
71,qas,2,rhetorician,3
72,qas,2,conformists,3
73,qas,2,grandiosity,3
74,qas,2,bargainer,3
75,qas,2,tramp,0
76,qas,2,housekeeping,3
77,qas,2,bloomer,3
78,qas,2,dullard,3
79,qas,2,ectoparasites,3
80,qas,2,bind,5
81,qas,2,power,3
82,qas,2,father,3
83,qas,2,habitual,3
84,qas,2,common,3
85,qas,2,townfolk,3
86,qas,2,bedevil,5
87,qas,2,flub,2
88,qas,2,barbarous,0
89,qas,2,businesswomen,3
90,qas,2,painting,2
91,qas,2,prevarications,3
92,qas,2,spoil,8
93,qas,2,rhetoricians,3
94,qas,2,hut,3
95,qas,2,refuse,3
96,qas,2,dabbler,9
97,qas,2,hokey,3
98,qas,2,king,8
99,qas,2,insane,9
100,qas,2,pitiful,4
101,qas,2,snoop,3
102,qas,2,parasitized,1
103,qas,2,welter,3
104,qas,2,melodramatic,3
105,qas,2,mishmash,3
106,qas,2,trader,3
107,qas,2,shanty,3
108,qas,2,tagalong,9
109,qas,2,mushy,2
110,qas,2,peasant,0
111,qas,2,dilettantish,3
112,qas,2,bourgeoise,3
113,qas,2,pratfall,3
114,qas,2,commoners,2
115,qas,2,balls,8
116,qas,2,businessman,2
117,qas,2,ball,8
118,qas,2,parochial,4
119,qas,2,moocher,8
120,qas,2,industrialists,2
121,qas,2,farmer,2
122,qas,2,hapless,4
123,qas,2,fumble,3
124,qas,2,rout,3
125,qas,2,dissembler,3
126,qas,2,bobble,9
127,qas,2,churls,3
128,qas,2,miserable,4
129,qas,2,fuckup,2
130,qas,2,prevarication,3
131,qas,2,melange,3
132,qas,2,parishes,3
133,qas,2,parish,3
134,qas,2,mixtures,2
135,qas,2,caste,2
136,qas,2,prevaricated,3
137,qas,2,frantic,2
138,qas,2,culled,3
139,qas,2,rabble,2
140,qas,2,hovel,6
141,qas,2,mediaeval,2
142,qas,2,mawkish,2
143,qas,2,soupy,2
144,qas,2,piteous,3
145,qas,2,snooper,9
146,qas,2,mob,2
147,qas,2,feudalistic,3
148,qas,2,hutch,3
149,qas,2,kennels,3
150,qas,2,riffraff,3
151,qas,2,rhetorical,2
152,qas,2,agrarian,2
153,qas,2,boor,9
154,qas,2,dilettante,2
155,qas,2,stumbler,3
156,qas,2,barons,2
157,qas,2,bungle,2
158,qas,2,conformity,2
159,qas,2,troublemaker,9
160,cds,3,nerdiness,3
161,cds,3,mongrel,3
162,cds,3,zealotry,3
163,cds,3,pedants,3
164,cds,3,nymphomaniacs,6
165,cds,3,nymphomaniac,6
166,cds,3,papparazi,3
167,cds,3,sheik,0
168,cds,3,chump,8
169,cds,3,rapscallion,3
170,cds,3,mass,3
171,cds,3,boaster,3
172,cds,3,incriminates,3
173,cds,3,rookie,3
174,cds,3,barbarian,0
175,cds,3,pietism,3
176,cds,3,villainous,4
177,cds,3,fundamentalists,3
178,cds,3,outlawry,5
179,cds,3,masses,3
180,cds,3,gang,3
181,cds,3,ringleader,3
182,cds,3,schoolmarm,3
183,cds,3,lav,8
184,cds,3,dissembled,2
185,cds,3,smatter,3
186,cds,3,tattle,3
187,cds,3,henchmen,3
188,cds,3,superciliousness,3
189,cds,3,craven,3
190,cds,3,babe,3
191,cds,3,blather,9
192,cds,3,clansmen,3
193,cds,3,officer,3
194,cds,3,people,3
195,cds,3,infants,3
196,cds,3,dogmatism,3
197,cds,3,freshness,3
198,cds,3,parvenus,3
199,cds,3,scalawag,3
200,cds,3,usurer,3
201,cds,3,reactionary,3
202,cds,3,chiseler,3
203,cds,3,greenhorn,3
204,cds,3,fundamentalist,3
205,cds,3,rascal,3
206,cds,3,problem,5
207,cds,3,blunder,2
208,cds,3,bluestocking,3
209,cds,3,unlawfulness,5
210,cds,3,tribeswomen,0
211,cds,3,tattler,9
212,cds,3,complacence,3
213,cds,3,teaser,0
214,cds,3,fops,3
215,cds,3,ostentatiousness,3
216,cds,3,illicit,5
217,cds,3,fascists,3
218,cds,3,swinish,3
219,cds,3,reprobate,3
220,cds,3,culled,3
221,cds,3,wily,3
222,cds,3,slacking,3
223,cds,3,gallant,3
224,cds,3,whoremonger,3
225,cds,3,mess,2
226,cds,3,scamp,3
227,cds,3,blooper,2
228,cds,3,beau,6
229,cds,3,robber,5
230,cds,3,sinner,3
231,cds,3,blabber,9
232,cds,3,schoolmarms,3
233,cds,3,bookworm,3
234,cds,3,arrogance,3
235,cds,3,outlawed,5
236,cds,3,clan,3
237,cds,3,gobble,3
238,cds,3,masonic,3
239,cds,3,grifter,3
240,cds,3,poltroon,3
241,cds,3,hellion,6
242,cds,3,lawlessness,5
243,cds,3,churl,0
