0.8145625,('villain', 'villian')
0.7874549,('pathetic', 'pitiful')
0.68906486,('meagre', 'meager')
0.6850794,('impoverished', 'destitute')
0.68466336,('outcast', 'pariah')
0.68271047,('pariah', 'pariahs')
0.6720418,('insular', 'isolated')
0.6617716,('miserable', 'unhappy')
0.66156787,('destitute', 'penniless')
0.64974624,('miserable', 'destitute')
0.6470571,('impoverished', 'low-income')
0.6342563,('pathetic', 'sad')
0.62857616,('outcast', 'pariahs')
0.62494653,('pathetic', 'miserable')
0.6197088,('beg', 'pray')
0.6090107,('segregated', 'separated')
0.60710317,('impoverished', 'poorer')
0.60540783,('impoverished', 'poorest')
0.60254234,('destitute', 'poor')
0.60006547,('impoverished', 'poor')
0.5966614,('separated', 'detached')
0.5965837,('impoverished', 'isolated')
0.59299815,('villan', 'villian')
0.5891593,('segregated', 'isolated')
0.5886813,('poorest', 'poorer')
0.56221783,('destitute', 'unhappy')
0.5590316,('miserable', 'pitiful')
0.55799735,('wretched', 'pitiful')
0.5553461,('miserable', 'sad')
0.5525846,('poor', 'low-income')
0.54807746,('impoverished', 'insular')
0.5433223,('isolated', 'separated')
0.54265726,('miserable', 'wretched')
0.5414967,('segregated', 'insular')
0.5381725,('impoverished', 'poverty-stricken')
0.5358413,('villan', 'villain')
0.53430057,('villainous', 'villain')
0.5240345,('villainous', 'villian')
0.52148736,('miserable', 'penniless')
0.51937413,('impoverished', 'poverty')
0.51658213,('sad', 'unfortunate')
0.5159668,('sad', 'pitiful')
0.5069559,('isolated', 'detached')
0.5057348,('villians', 'villian')
0.5014879,('pitiable', 'pitiful')
0.5009764,('villians', 'villain')
0.49961957,('sad', 'unhappy')
0.49779642,('destitute', 'poorer')
0.49093118,('low-income', 'poorer')
0.49051717,('poor', 'poorer')
0.49008006,('destitute', 'low-income')
0.48408285,('low-income', 'poorest')
0.48193112,('impoverished', 'segregated')
0.48068044,('wretch', 'wretched')
0.4794853,('segregated', 'low-income')
0.47780767,('insular', 'outcast')
0.47730947,('stingy', 'cheapskate')
0.47661576,('pathetic', 'wretched')
0.46934918,('beggar', 'penniless')
0.46804756,('scrooge', 'villian')
0.46713853,('poverty-stricken', 'low-income')
0.4651548,('stingy', 'unhappy')
0.4650852,('scrooge', 'pauper')
0.46451658,('poverty', 'destitute')
0.46006116,('unfortunate', 'untimely')
0.45817336,('insular', 'unfortunate')
0.45724466,('insular', 'narrow-minded')
0.45400363,('outcast', 'isolated')
0.45224875,('badguy', 'villian')
0.44932798,('impoverished', 'miserable')
0.4486975,('miserable', 'poor')
0.44777152,('segregated', 'poorest')
0.44571108,('pitiful', 'narrow-minded')
0.44465342,('poverty-stricken', 'poorest')
0.4413694,('pathetic', 'narrow-minded')
0.44128996,('destitute', 'poorest')
0.4408495,('pauper', 'beggar')
0.43824387,('poverty', 'low-income')
0.43783775,('unhappy', 'poorer')
0.4349754,('destitute', 'wretched')
0.43380156,('unfortunate', 'isolated')
0.43336457,('insular', 'unhappy')
0.4331222,('stingy', 'poor')
0.42904466,('poor', 'poorest')
0.4262024,('segregated', 'poorer')
0.4256938,('miscreants', 'pariahs')
0.42184883,('poverty', 'poor')
0.41675788,('impoverished', 'unhappy')
0.4095169,('niggard', 'misers')
0.40748933,('implore', 'beg')
0.4064041,('poor', 'unhappy')
0.40485436,('implore', 'pray')
0.40244773,('poverty', 'poorer')
0.40244496,('insular', 'detached')
0.4014011,('scrooge', 'villain')
0.40019578,('segregated', 'detached')
0.39956453,('poverty', 'impoverishment')
0.39953378,('pathetic', 'pitiable')
0.3983446,('pathetic', 'hapless')
0.39656264,('unfortunate', 'unhappy')
0.39634204,('beggar', 'cheapskate')
0.39491543,('pitiable', 'narrow-minded')
0.39293164,('insular', 'narrow')
0.39221063,('misfortunate', 'piteous')
0.38946435,('outcast', 'unhappy')
0.3887598,('unfortunate', 'ill-timed')
0.38853642,('badguy', 'villain')
0.38612548,('poverty', 'poorest')
0.38309616,('pathetic', 'unhappy')
0.382703,('scrooge', 'beggar')
0.3825805,('villians', 'villan')
0.38226074,('impoverished', 'impoverish')
0.38206708,('pathetic', 'stingy')
0.3796525,('poor', 'penniless')
0.3794333,('impoverished', 'outcast')
0.37794745,('parochial', 'insular')
0.37698746,('impoverished', 'penniless')
0.3758842,('impoverishment', 'impoverishing')
0.3758191,('poor', 'poverty-stricken')
0.37372386,('mendicant', 'misfortunate')
0.37286705,('wretched', 'narrow-minded')
0.37259057,('low-income', 'impoverish')
0.3719296,('miserable', 'detached')
0.37051255,('pitiful', 'hapless')
0.36935866,('sad', 'pitiable')
0.3686435,('pauper', 'miser')
0.36823136,('destitute', 'isolated')
0.3668526,('beggar', 'miser')
0.36240956,('castaway', 'niggard')
0.3618348,('wretch', 'cheapskate')
0.360766,('scrooge', 'miser')
0.36016387,('wretch', 'narrow-minded')
0.35978267,('churl', 'parsimonious')
0.35796404,('miserable', 'outcast')
0.35788292,('scrooge', 'cheapskate')
0.3571006,('tightwad', 'cheapskate')
0.3557031,('scrooge', 'villan')
0.3551904,('isolated', 'unhappy')
0.35313424,('miserable', 'poorer')
0.35310832,('destitute', 'beggar')
0.35257256,('isolated', 'poorest')
