0.81541735,('moth', 'moths')
0.77925557,('cows', 'cow')
0.7712557,('prostitutes', 'prostitute')
0.7642622,('cows', 'cattle')
0.71944344,('prostitutes', 'prostitution')
0.69009113,('rats', 'rat')
0.6836778,('whores', 'whore')
0.6797259,('whore', 'slut')
0.6782765,('trollop', 'hussy')
0.67746866,('paramour', 'mistress')
0.67411894,('bitch', 'whore')
0.6639344,('sluttish', 'slatternly')
0.66230303,('floozy', 'floozie')
0.65981054,('floozy', 'hussy')
0.652104,('courtier', 'courtiers')
0.65070814,('floozy', 'slutty')
0.6466078,('hussy', 'strumpet')
0.6463909,('trollop', 'floozy')
0.6435638,('floozy', 'strumpet')
0.64239836,('floozy', 'hellcat')
0.6407292,('prostitutes', 'hookers')
0.6387577,('hussy', 'harlot')
0.6378166,('prositution', 'prostitution')
0.6375681,('slut', 'sluts')
0.63273793,('bitch', 'cunt')
0.6319464,('cow', 'cattle')
0.6299208,('trollop', 'whore')
0.62955314,('hookers', 'hooker')
0.6288601,('floozy', 'slatternly')
0.6266246,('cunt', 'whore')
0.6262525,('bitch', 'slut')
0.621794,('prostitute', 'prostitution')
0.6215672,('floozie', 'slatternly')
0.62030756,('trollop', 'strumpet')
0.61913997,('sluttish', 'strumpet')
0.6187671,('hussy', 'hellcat')
0.6180399,('slutty', 'slut')
0.6162512,('hussy', 'vixen')
0.61549115,('trollop', 'harlot')
0.61291826,('courtesans', 'courtiers')
0.61286944,('hellcat', 'harpy')
0.61192596,('hussy', 'whore')
0.6115664,('concubines', 'concubine')
0.61090183,('hussy', 'slutty')
0.6071813,('whores', 'harlots')
0.60350096,('slattern', 'strumpet')
0.6026064,('sluttish', 'hussy')
0.6025185,('whoredom', 'harlotry')
0.60153246,('courtesans', 'courtesan')
0.6012572,('cunt', 'slut')
0.6007875,('hogwash', 'bunkum')
0.6002777,('beyotch', 'bitch')
0.6000103,('trollop', 'hellcat')
0.599298,('trollop', 'slut')
0.59923255,('floozy', 'streetwalker')
0.596322,('whores', 'whoring')
0.59567434,('strumpet', 'harpy')
0.594047,('trollop', 'slutty')
0.5936407,('slattern', 'slatternly')
0.59316343,('strumpet', 'harlot')
0.59315366,('strumpet', 'floozie')
